city,state_id,state_name,county_name,zips
South Creek,WA,Washington,Pierce,98580 98387 98338
Roslyn,WA,Washington,Kittitas,98941 98068 98925
Sprague,WA,Washington,Lincoln,99032
Gig Harbor,WA,Washington,Pierce,98332 98335
Lake Cassidy,WA,Washington,Snohomish,98223 98258 98270
Tenino,WA,Washington,Thurston,98589
Jamestown,WA,Washington,Clallam,98382
Three Lakes,WA,Washington,Snohomish,98290
Curlew Lake,WA,Washington,Ferry,99166
Chain Lake,WA,Washington,Snohomish,98290
Pateros,WA,Washington,Okanogan,98846
Rosburg,WA,Washington,Wahkiakum,98643
Parkland,WA,Washington,Pierce,98444 98445 98447 98448
Birch Bay,WA,Washington,Whatcom,98230
Ashford,WA,Washington,Pierce,98304
Navy Yard City,WA,Washington,Kitsap,98312
Omak,WA,Washington,Okanogan,98841
Farmington,WA,Washington,Whitman,99128
Buckley,WA,Washington,Pierce,98321
Cathcart,WA,Washington,Snohomish,98296
Poulsbo,WA,Washington,Kitsap,98370
Anacortes,WA,Washington,Skagit,98221
Maplewood,WA,Washington,Pierce,98332
Creston,WA,Washington,Lincoln,99117
Rockford,WA,Washington,Spokane,99030
Wishram,WA,Washington,Klickitat,98673
Centralia,WA,Washington,Lewis,98531
South Hill,WA,Washington,Pierce,98375 98374 98373
Longview Heights,WA,Washington,Cowlitz,98632
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,98312
Amboy,WA,Washington,Clark,98601 98675
St. John,WA,Washington,Whitman,99171
Dallesport,WA,Washington,Klickitat,98617 98635
Ketron Island,WA,Washington,Pierce,98388
Mesa,WA,Washington,Franklin,99326 99343
Fife,WA,Washington,Pierce,98424
Moses Lake North,WA,Washington,Grant,98837
Chewelah,WA,Washington,Stevens,99109
Grayland,WA,Washington,Grays Harbor,98547
Kittitas,WA,Washington,Kittitas,98934 98926
Camano,WA,Washington,Island,98282
Monroe North,WA,Washington,Snohomish,98290 98272
North Bonneville,WA,Washington,Skamania,98648 98639
Klickitat,WA,Washington,Klickitat,98628
Loon Lake,WA,Washington,Stevens,99148
Newport,WA,Washington,Pend Oreille,99156
Mead,WA,Washington,Spokane,99021
Cashmere,WA,Washington,Chelan,98815
Aberdeen Gardens,WA,Washington,Grays Harbor,98520
Ocean Shores,WA,Washington,Grays Harbor,98569
Basin City,WA,Washington,Franklin,99343
Wilkeson,WA,Washington,Pierce,98396
Meadow Glade,WA,Washington,Clark,98604
Arlington Heights,WA,Washington,Snohomish,98223
Uniontown,WA,Washington,Whitman,99179
Oakesdale,WA,Washington,Whitman,99158
West Side Highway,WA,Washington,Cowlitz,98626 98632
Conconully,WA,Washington,Okanogan,98819
Latah,WA,Washington,Spokane,99018
Elma,WA,Washington,Grays Harbor,98541
Tieton,WA,Washington,Yakima,98947
Southworth,WA,Washington,Kitsap,98366 98384 98386
Danville,WA,Washington,Ferry,99121
Toppenish,WA,Washington,Yakima,98948
River Road,WA,Washington,Clallam,98382
Geneva,WA,Washington,Whatcom,98229
Yakima,WA,Washington,Yakima,98901 98903 98902 98908 98904 98907
Moxee,WA,Washington,Yakima,98936 98901
Edmonds,WA,Washington,Snohomish,98026 98020
